"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-01","2020","02","01","†","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","2.0","","1.4","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-02","2020","02","02","†","3.0","","-2.0","","0.5","","17.5","","0.0","","1.6","","3.2","","5.8","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-03","2020","02","03","†","5.0","","-0.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-04","2020","02","04","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","3","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-05","2020","02","05","†","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","3.2","","4.6","","2","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-06","2020","02","06","†","-3.0","","-6.0","","-4.5","","22.5","","0.0","","0.0","","3.8","","5.2","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-07","2020","02","07","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.2","","0.2","","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-08","2020","02","08","†","-6.5","","-15.5","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-09","2020","02","09","†","2.0","","-14.5","","-6.3","","24.3","","0.0","","0.0","","8.6","","8.2","","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-10","2020","02","10","†","4.5","","-1.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-11","2020","02","11","†","2.5","","-1.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-12","2020","02","12","†","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","4.4","","1.6","","10","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-13","2020","02","13","†","0.0","","-8.0","","-4.0","","22.0","","0.0","","0.0","","1.4","","1.4","","15","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-14","2020","02","14","†","-7.5","","-22.0","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.0","","16","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-15","2020","02","15","†","0.5","","-12.5","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","","15","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-16","2020","02","16","†","3.5","","-4.5","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-17","2020","02","17","†","1.5","","-7.5","","-3.0","","21.0","","0.0","","0.0","T","5.0","","7.8","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-18","2020","02","18","†","5.0","","-3.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-19","2020","02","19","†","-1.0","","-3.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-20","2020","02","20","†","-4.5","","-9.5","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-21","2020","02","21","†","1.0","","-11.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-22","2020","02","22","†","6.0","","-5.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-23","2020","02","23","†","9.0","","-3.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-24","2020","02","24","†","9.5","","0.0","","4.8","","13.2","","0.0","","0.6","","0.8","","1.8","","9","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-25","2020","02","25","†","4.5","","0.0","","2.3","","15.7","","0.0","","0.0","","0.4","","0.4","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-26","2020","02","26","†","-0.5","","-2.0","","-1.3","","19.3","","0.0","","0.0","","14.0","","16.2","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-27","2020","02","27","†","-3.5","","-6.5","","-5.0","","23.0","","0.0","","0.0","","0.0","T","0.0","","18","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-28","2020","02","28","†","-3.5","","-7.0","","-5.3","","23.3","","0.0","","0.0","","4.0","","1.8","","18","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-02-29","2020","02","29","†","-4.0","","-15.5","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","19","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-01","2020","03","01","†","5.5","","-14.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-02","2020","03","02","†","6.5","","-1.5","","2.5","","15.5","","0.0","","1.8","","0.0","","1.8","","13","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-03","2020","03","03","†","4.0","","-2.5","","0.8","","17.2","","0.0","","10.2","","0.0","","10.2","","11","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-04","2020","03","04","†","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","0.0","T","0.0","","8","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-05","2020","03","05","†","6.5","","-3.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-06","2020","03","06","†","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","","1.8","","2.2","","1","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-07","2020","03","07","†","4.5","","-8.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-08","2020","03","08","†","13.0","","-1.5","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-09","2020","03","09","†","17.5","","7.0","","12.3","","5.7","","0.0","","3.2","","0.0","","3.2","","0","T","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-10","2020","03","10","†","11.5","","1.5","","6.5","","11.5","","0.0","","1.6","","0.0","","1.6","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-11","2020","03","11","†","4.0","","-5.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-12","2020","03","12","†","8.5","","-2.0","","3.3","","14.7","","0.0","","3.8","","0.0","","3.8","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-13","2020","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-14","2020","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-15","2020","03","15","†","4.5","","-4.5","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-16","2020","03","16","†","4.5","","-7.0","","-1.3","","19.3","","0.0","","0.4","","0.4","","0.8","","0","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2020-03-17","2020","03","17","†","8.5","","-0.5","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
