"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-01-28","2021","01","28","†","-7.0","","-14.0","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-01-29","2021","01","29","†","-8.0","","-14.0","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-01-30","2021","01","30","†","-2.0","","-16.0","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-01-31","2021","01","31","†","-5.0","","-12.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-01","2021","02","01","†","-3.0","","-11.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-02","2021","02","02","†","-1.0","","-9.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-03","2021","02","03","†","1.0","","-7.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-04","2021","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-05","2021","02","05","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-06","2021","02","06","†","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-07","2021","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-08","2021","02","08","†","-5.5","","-13.5","","-9.5","","27.5","","0.0","","0.0","","0.8","","0.6","","6","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-09","2021","02","09","†","-2.0","","-10.5","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-10","2021","02","10","†","-5.0","","-12.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-11","2021","02","11","†","-3.5","","-9.5","","-6.5","","24.5","","0.0","","0.0","","0.2","","0.2","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-12","2021","02","12","†","-7.5","","-15.0","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-13","2021","02","13","†","-9.0","","-14.5","","-11.8","","29.8","","0.0","","0.0","","3.4","","2.2","","7","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-14","2021","02","14","†","-2.5","","-16.0","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","","10","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-15","2021","02","15","†","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","10.0","","15.2","","10","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-16","2021","02","16","†","-7.5","","-11.0","","-9.3","","27.3","","0.0","","0.0","","4.0","","0.4","","17","","","","",""
"-79.47","43.78","TORONTO NORTH YORK","615S001","2021-02-17","2021","02","17","†","-3.0","","-18.0","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
